text,language,cefr,meanings,tags
through,en,A1,,"prep., adv."
Thursday,en,A1,,n.
ticket,en,A1,,n.
time,en,A1,,n.
tired,en,A1,,adj.
title,en,A1,,n.
to,en,A1,,"prep., infinitive marker"
today,en,A1,,"adv., n."
together,en,A1,,adv.
toilet,en,A1,,n.
tomato,en,A1,,n.
tomorrow,en,A1,,"adv., n."
tonight,en,A1,,"adv., n."
too,en,A1,,adv.
tooth,en,A1,,n.
topic,en,A1,,n.
tourist,en,A1,,n.
town,en,A1,,n.
traffic,en,A1,,n.
train,en,A1,,n.
travel,en,A1,,"v., n."
tree,en,A1,,n.
trip,en,A1,,n.
trousers,en,A1,,n.
true,en,A1,,adj.
try,en,A1,,v.
T-shirt,en,A1,,n.
Tuesday,en,A1,,n.
turn,en,A1,,"v., n."
TV,en,A1,,n.
twelve,en,A1,,number
twenty,en,A1,,number
twice,en,A1,,adv.
two,en,A1,,number
type,en,A1,,n.
umbrella,en,A1,,n.
uncle,en,A1,,n.
under,en,A1,,"prep., adv."
understand,en,A1,,v.
university,en,A1,,n.
until,en,A1,,conj./prep.
up,en,A1,,"adv., prep."
upstairs,en,A1,,adv.
us,en,A1,,pron.
use,en,A1,,v.
useful,en,A1,,adj.
usually,en,A1,,adv.
vacation,en,A1,,n.
vegetable,en,A1,,n.
very,en,A1,,adv.
video,en,A1,,n.
village,en,A1,,n.
visit,en,A1,,"v., n."
visitor,en,A1,,n.
wait,en,A1,,v.
waiter,en,A1,,n.
wake,en,A1,,v.
walk,en,A1,,"v., n."
wall,en,A1,,n.
want,en,A1,,v.
warm,en,A1,,adj.
wash,en,A1,,v.
watch,en,A1,,"v., n."
water,en,A1,,n.
way,en,A1,,n.
we,en,A1,,pron.
wear,en,A1,,v.
weather,en,A1,,n.
website,en,A1,,n.
Wednesday,en,A1,,n.
week,en,A1,,n.
weekend,en,A1,,n.
welcome,en,A1,,"exclam., v., adj."
well,en,A1,,"adv., adj., exclam."
west,en,A1,,"n., adj., adv."
what,en,A1,,pron./det.
when,en,A1,,"adv., pron., conj."
where,en,A1,,"adv., conj."
which,en,A1,,pron./det.
white,en,A1,,"adj., n."
who,en,A1,,pron.
why,en,A1,,adv.
wife,en,A1,,n.
will,en,A1,,modal v.
win,en,A1,,v.
window,en,A1,,n.
wine,en,A1,,n.
winter,en,A1,,n.
with,en,A1,,prep.
without,en,A1,,prep.
woman,en,A1,,n.
wonderful,en,A1,,adj.
word,en,A1,,n.
work,en,A1,,"v., n."
worker,en,A1,,n.
world,en,A1,,n.
would,en,A1,,modal v.
write,en,A1,,v.
writer,en,A1,,n.
writing,en,A1,,n.
wrong,en,A1,,adj.
yeah,en,A1,,exclam.
year,en,A1,,n.
yellow,en,A1,,"adj., n."
yes,en,A1,,exclam.
yesterday,en,A1,,"adv., n."
you,en,A1,,pron.
young,en,A1,,adj.
your,en,A1,,det.
yourself,en,A1,,pron.
ability,en,A2,,n.
able,en,A2,,adj.
abroad,en,A2,,adv.
accept,en,A2,,v.
accident,en,A2,,n.
according to,en,A2,,prep.
achieve,en,A2,,v.
act,en,A2,,v.
active,en,A2,,adj.
actually,en,A2,,adv.
adult,en,A2,,adj.
advantage,en,A2,,n.
adventure,en,A2,,n.
advertise,en,A2,,v.
advertisement,en,A2,,n.
advertising,en,A2,,n.
affect,en,A2,,v.
after,en,A2,,"conj., adv."
against,en,A2,,prep.
ah,en,A2,,exclam.
airline,en,A2,,n.
alive,en,A2,,adj.
all,en,A2,,adv.
all right,en,A2,,"adj./adv., exclam."
allow,en,A2,,v.
almost,en,A2,,adv.
alone,en,A2,,adj./adv.
along,en,A2,,"prep., adv."
already,en,A2,,adv.
alternative,en,A2,,n.
although,en,A2,,conj.
among,en,A2,,prep.
amount,en,A2,,n.
ancient,en,A2,,adj.
ankle,en,A2,,n.
any,en,A2,,adv.
anybody,en,A2,,pron.
any more,en,A2,,adv.
anyway,en,A2,,adv.
anywhere,en,A2,,"adv., pron."
app,en,A2,,n.
appear,en,A2,,v.
appearance,en,A2,,n.
apply,en,A2,,v.
architect,en,A2,,n.
architecture,en,A2,,n.
argue,en,A2,,v.
argument,en,A2,,n.
army,en,A2,,n.
arrange,en,A2,,v.
arrangement,en,A2,,n.
as,en,A2,,"adv., conj."
asleep,en,A2,,adj.
assistant,en,A2,,"n., adj."
athlete,en,A2,,n.
attack,en,A2,,"n., v."
attend,en,A2,,v.
attention,en,A2,,"n., exclam."
attractive,en,A2,,adj.
audience,en,A2,,n.
author,en,A2,,n.
available,en,A2,,adj.
average,en,A2,,"adj., n."
avoid,en,A2,,v.
award,en,A2,,n.
awful,en,A2,,adj.
back,en,A2,,adj.
background,en,A2,,n.
badly,en,A2,,adv.
bar,en,A2,,n.
baseball,en,A2,,n.
based,en,A2,,adj.
basketball,en,A2,,n.
bean,en,A2,,n.
bear,en,A2,,(animal) n.
beat,en,A2,,v.
beef,en,A2,,n.
before,en,A2,,"conj., adv."
behave,en,A2,,v.
behaviour,en,A2,,n.
belong,en,A2,,v.
belt,en,A2,,n.
benefit,en,A2,,n.
best,en,A2,,"adv., n."
better,en,A2,,adv.
between,en,A2,,adv.
billion,en,A2,,number
bin,en,A2,,n.
biology,en,A2,,n.
birth,en,A2,,n.
biscuit,en,A2,,n.
bit,en,A2,,n.
blank,en,A2,,"adj., n."
blood,en,A2,,n.
blow,en,A2,,v.
board,en,A2,,n.
boil,en,A2,,v.
bone,en,A2,,n.
book,en,A2,,v.
borrow,en,A2,,v.
boss,en,A2,,n.
bottom,en,A2,,"n., adj."
bowl,en,A2,,n.
brain,en,A2,,n.
bridge,en,A2,,n.
bright,en,A2,,adj.
brilliant,en,A2,,adj.
broken,en,A2,,adj.
brush,en,A2,,"v., n."
burn,en,A2,,v.
businessman,en,A2,,n.
button,en,A2,,n.
camp,en,A2,,"n., v."
camping,en,A2,,n.
can2,en,A2,,n.
care,en,A2,,"n., v."
careful,en,A2,,adj.
carefully,en,A2,,adv.
carpet,en,A2,,n.
cartoon,en,A2,,n.
case,en,A2,,n.
cash,en,A2,,n.
castle,en,A2,,n.
catch,en,A2,,v.
cause,en,A2,,"n., v."
celebrate,en,A2,,v.
celebrity,en,A2,,n.
certain,en,A2,,adj.
certainly,en,A2,,adv.
chance,en,A2,,n.
character,en,A2,,n.
charity,en,A2,,n.
chat,en,A2,,"v., n."
check,en,A2,,n.
chef,en,A2,,n.
chemistry,en,A2,,n.
chip,en,A2,,n.
choice,en,A2,,n.
church,en,A2,,n.
cigarette,en,A2,,n.
circle,en,A2,,"n., v."
classical,en,A2,,adj.
clear,en,A2,,adj.
clearly,en,A2,,adv.
clever,en,A2,,adj.
climate,en,A2,,n.
close2,en,A2,,adj.
closed,en,A2,,adj.
clothing,en,A2,,n.
cloud,en,A2,,n.
coach,en,A2,,n.
coast,en,A2,,n.
code,en,A2,,n.
colleague,en,A2,,n.
collect,en,A2,,v.
column,en,A2,,n.
comedy,en,A2,,n.
comfortable,en,A2,,adj.
comment,en,A2,,n.
communicate,en,A2,,v.
community,en,A2,,n.
compete,en,A2,,v.
competition,en,A2,,n.
complain,en,A2,,v.
completely,en,A2,,adv.
condition,en,A2,,n.
conference,en,A2,,n.
connect,en,A2,,v.
connected,en,A2,,adj.
consider,en,A2,,v.
contain,en,A2,,v.
context,en,A2,,n.
continent,en,A2,,n.
continue,en,A2,,v.
control,en,A2,,"n., v."
cook,en,A2,,n.
cooker,en,A2,,n.
copy,en,A2,,"n., v."
corner,en,A2,,n.
correctly,en,A2,,adv.
count,en,A2,,v.
